question_id,title,topic_primary,url_slug,source_url,base_unweighted_n,base_weighted_n,moe_question_level,is_multiselect,options_count
2026-045_beliefs_technology_health_10,Please indicate the extent to which you agree or disagree with the following statement: The kind of evidence that is appropriate for evaluating God’s existence is not the same as the kind of evidence used to evaluate ordinary truth claims.,beliefs,please-indicate-the-extent-to-which-you-agree-or-disagree-with-the-following-statement-the-kind-of-evidence-that-is-appropriate-for-evaluating-god-s-existence-is-not-the-same-as,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-10,1000,999.9999999999999,+/- 3.3%,false,7
2026-045_beliefs_technology_health_11,Please indicate the extent to which you agree or disagree with the following statement: I evaluate claims about God's existence differently than I evaluate claims about what is true in other domains.,beliefs,please-indicate-the-extent-to-which-you-agree-or-disagree-with-the-following-statement-i-evaluate-claims-about-god-s-existence-differently-than-i-evaluate-claims-about-what-is,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-11,1000,999.9999999999999,+/- 3.3%,false,7
2026-045_beliefs_technology_health_12,Please indicate the extent to which you agree or disagree with the following statement: My religious beliefs are what really lie behind my whole approach to life.,beliefs,please-indicate-the-extent-to-which-you-agree-or-disagree-with-the-following-statement-my-religious-beliefs-are-what-really-lie-behind-my-whole-approach-to-life,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-12,1000,999.9999999999999,+/- 3.3%,false,5
2026-045_beliefs_technology_health_13,To what extent do you believe in the existence of the Devil?,beliefs,to-what-extent-do-you-believe-in-the-existence-of-the-devil,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-13,1000,999.9999999999999,+/- 3.3%,false,7
2026-045_beliefs_technology_health_14,Please indicate the extent to which you disagree or agree with the following statement: I welcome being accountable to God or a higher power for how I live my life as a whole.,beliefs,please-indicate-the-extent-to-which-you-disagree-or-agree-with-the-following-statement-i-welcome-being-accountable-to-god-or-a-higher-power-for-how-i-live-my-life-as-a-whole,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-14,1000,999.9999999999999,+/- 3.3%,false,7
2026-045_beliefs_technology_health_15,To what extent do you struggle to remove items from your life that would count as clutter?,beliefs,to-what-extent-do-you-struggle-to-remove-items-from-your-life-that-would-count-as-clutter,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-15,1000,999.9999999999999,+/- 3.3%,false,7
2026-045_beliefs_technology_health_16,"Generally speaking, what would you think about a therapist that routinely does this?",beliefs,generally-speaking-what-would-you-think-about-a-therapist-that-routinely-does-this,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-16,1000,999.9999999999999,+/- 3.3%,false,5
2026-045_beliefs_technology_health_17,"Please indicate the extent to which you agree or disagree with the following statement: When choosing a medication, my decision is influenced by potential side effects.",beliefs,please-indicate-the-extent-to-which-you-agree-or-disagree-with-the-following-statement-when-choosing-a-medication-my-decision-is-influenced-by-potential-side-effects,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-17,1000,999.9999999999999,+/- 3.3%,false,5
2026-045_beliefs_technology_health_18,How might this influence your relationship?,beliefs,how-might-this-influence-your-relationship,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-18,1000,999.9999999999999,+/- 3.3%,false,5
2026-045_beliefs_technology_health_19,To what extent do you agree or disagree that faculty/educators/teachers can successfully use artificial intelligence (AI) to develop assignments for their students?,beliefs,to-what-extent-do-you-agree-or-disagree-that-faculty-educators-teachers-can-successfully-use-artificial-intelligence-ai-to-develop-assignments-for-their-students,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-19,1000,999.9999999999999,+/- 3.3%,false,5
2026-045_beliefs_technology_health_1_a,Do you believe the justice system is inherently biased?,beliefs,do-you-believe-the-justice-system-is-inherently-biased,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-1_a,1000,999.9999999999999,+/- 4.6%,false,2
2026-045_beliefs_technology_health_1_b,Do you believe the medical system is inherently biased?,beliefs,do-you-believe-the-medical-system-is-inherently-biased,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-1_b,1000,999.9999999999999,+/- 4.7%,false,2
2026-045_beliefs_technology_health_2,Do you think the social environment will affect college student mental health outcomes?,beliefs,do-you-think-the-social-environment-will-affect-college-student-mental-health-outcomes,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-2,1000,999.9999999999999,+/- 3.3%,false,2
2026-045_beliefs_technology_health_20_a,To what extent do you think investment or stock advice generated by AI can be accurate for individual retail investors who are operating independently without the support of financial institution or professional advisors?,beliefs,to-what-extent-do-you-think-investment-or-stock-advice-generated-by-ai-can-be-accurate-for-individual-retail-investors-who-are-operating-independently-without-the-support-of,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-20_a,1000,999.9999999999999,+/- 4.6%,false,7
2026-045_beliefs_technology_health_20_b,To what extent do you think investment or stock advice generated by AI can be useful for individual retail investors who are operating independently without the support of financial institution or professional advisors?,beliefs,to-what-extent-do-you-think-investment-or-stock-advice-generated-by-ai-can-be-useful-for-individual-retail-investors-who-are-operating-independently-without-the-support-of,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-20_b,1000,999.9999999999999,+/- 4.7%,false,7
2026-045_beliefs_technology_health_21,Have you ever used AI companion apps?,beliefs,have-you-ever-used-ai-companion-apps,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-21,1000,999.9999999999999,+/- 3.3%,false,4
2026-045_beliefs_technology_health_22,How often do you see AI on social media?,beliefs,how-often-do-you-see-ai-on-social-media,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-22,1000,999.9999999999999,+/- 3.3%,false,6
2026-045_beliefs_technology_health_23_a,"On average, how many hours do you think you spend on social media per day? (EX. Instagram, Facebook, TikTok, Snapchat, etc.)",beliefs,on-average-how-many-hours-do-you-think-you-spend-on-social-media-per-day-ex-instagram-facebook-tiktok-snapchat-etc,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-23_a,1000,999.9999999999999,+/- 4.6%,false,5
2026-045_beliefs_technology_health_23_b,"Instagram, Facebook, TikTok, Snapchat, etc.)",beliefs,instagram-facebook-tiktok-snapchat-etc,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-23_b,1000,999.9999999999999,+/- 4.7%,false,5
2026-045_beliefs_technology_health_24_a,How has interacting with AI chatbot affected your sense of social connection?,beliefs,how-has-interacting-with-ai-chatbot-affected-your-sense-of-social-connection,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-24_a,1000,999.9999999999999,+/- 4.6%,false,6
2026-045_beliefs_technology_health_24_b,How has interacting with AI chatbot affected your sense of loneliness?,beliefs,how-has-interacting-with-ai-chatbot-affected-your-sense-of-loneliness,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-24_b,1000,999.9999999999999,+/- 4.7%,false,6
2026-045_beliefs_technology_health_25,Do you think AI will play a huge role in counseling sessions in the future?,beliefs,do-you-think-ai-will-play-a-huge-role-in-counseling-sessions-in-the-future,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-25,1000,999.9999999999999,+/- 3.3%,false,3
2026-045_beliefs_technology_health_26,Do you believe in the existence of extraterrestrial life?,beliefs,do-you-believe-in-the-existence-of-extraterrestrial-life,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-26,1000,999.9999999999999,+/- 3.3%,false,7
2026-045_beliefs_technology_health_27,"On a scale of 1 to 5 where 1 indicates ""Never"" and 5 indicates ""Daily,"" how often do you use AI to improve the way you think about thinking?",beliefs,on-a-scale-of-1-to-5-where-1-indicates-never-and-5-indicates-daily-how-often-do-you-use-ai-to-improve-the-way-you-think-about-thinking,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-27,1000,999.9999999999999,+/- 3.3%,false,5
2026-045_beliefs_technology_health_28,"In general, how often do you use TikTok?",beliefs,in-general-how-often-do-you-use-tiktok,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-28,1000,999.9999999999999,+/- 3.3%,false,7
2026-045_beliefs_technology_health_29,"If given the opportunity, how likely are you to consider AI as a potential romantic partner?",beliefs,if-given-the-opportunity-how-likely-are-you-to-consider-ai-as-a-potential-romantic-partner,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-29,1000,999.9999999999999,+/- 3.3%,false,5
2026-045_beliefs_technology_health_30_a,"On TikTok, how strict are the rules and social norms about what people can say or do?",beliefs,on-tiktok-how-strict-are-the-rules-and-social-norms-about-what-people-can-say-or-do,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-30_a,1000,999.9999999999999,+/- 4.6%,false,6
2026-045_beliefs_technology_health_30_b,"On Instagram, how strict are the rules and social norms about what people can say or do?",beliefs,on-instagram-how-strict-are-the-rules-and-social-norms-about-what-people-can-say-or-do,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-30_b,1000,999.9999999999999,+/- 4.7%,false,6
2026-045_beliefs_technology_health_31,Which of the following religious/spiritual groups do you identify with?,beliefs,which-of-the-following-religious-spiritual-groups-do-you-identify-with,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-31,1000,999.9999999999999,+/- 3.3%,true,8
2026-045_beliefs_technology_health_32,Please indicate the extent to which you agree or disagree with the following statement: I generally expect that I'll have to deal with some side effects when I take over-the-counter (non-prescription) medications.,beliefs,please-indicate-the-extent-to-which-you-agree-or-disagree-with-the-following-statement-i-generally-expect-that-i-ll-have-to-deal-with-some-side-effects-when-i-take-over-the,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-32,1000,999.9999999999999,+/- 3.3%,false,5
2026-045_beliefs_technology_health_33,Please indicate the extent to which you agree or disagree with the following statement: I worry about side effects when I take over-the-counter (non-prescription) medications.,beliefs,please-indicate-the-extent-to-which-you-agree-or-disagree-with-the-following-statement-i-worry-about-side-effects-when-i-take-over-the-counter-non-prescription-medications,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-33,1000,999.9999999999999,+/- 3.3%,false,5
2026-045_beliefs_technology_health_34,"Please indicate the extent to which you agree or disagree with the following statement: When I take medications, I usually experience side effects.",beliefs,please-indicate-the-extent-to-which-you-agree-or-disagree-with-the-following-statement-when-i-take-medications-i-usually-experience-side-effects,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-34,1000,999.9999999999999,+/- 3.3%,false,5
2026-045_beliefs_technology_health_35,How do you view people who use AI as a therapist or mentor?,beliefs,how-do-you-view-people-who-use-ai-as-a-therapist-or-mentor,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-35,1000,999.9999999999999,+/- 3.3%,false,5
2026-045_beliefs_technology_health_36,Which of the following best captures the average frequency you currently use cannabis?,beliefs,which-of-the-following-best-captures-the-average-frequency-you-currently-use-cannabis,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-36,1000,999.9999999999999,+/- 3.3%,false,7
2026-045_beliefs_technology_health_37,What do you believe happens after death?,beliefs,what-do-you-believe-happens-after-death,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-37,1000,999.9999999999999,+/- 3.3%,false,5
2026-045_beliefs_technology_health_38_a,"- The creator's sincere belief in what they said, or - The factual accuracy of what the creator said",beliefs,honest-content-creator-belief-versus-accuracy,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-38_a,1000,999.9999999999999,+/- 4.6%,false,6
2026-045_beliefs_technology_health_38_b,"- The creator's sincere belief in what they said, or - The factual accuracy of what the creator said",beliefs,truthful-content-creator-belief-versus-accuracy,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-38_b,1000,999.9999999999999,+/- 4.7%,false,6
2026-045_beliefs_technology_health_3_a,Is the use of past mental health history records useful in legal hearings?,beliefs,is-the-use-of-past-mental-health-history-records-useful-in-legal-hearings,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-3_a,1000,999.9999999999999,+/- 4.6%,false,2
2026-045_beliefs_technology_health_3_b,Are mental health history records considered useful in legal hearings?,beliefs,are-mental-health-history-records-considered-useful-in-legal-hearings,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-3_b,1000,999.9999999999999,+/- 4.7%,false,2
2026-045_beliefs_technology_health_4,How much does watching reality TV increase a person's irritability and aggression in interpersonal communication?,beliefs,how-much-does-watching-reality-tv-increase-a-person-s-irritability-and-aggression-in-interpersonal-communication,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-4,1000,999.9999999999999,+/- 3.3%,false,4
2026-045_beliefs_technology_health_5,"When choosing a non-prescription medication, I usually find information about its benefits from",beliefs,when-choosing-a-non-prescription-medication-i-usually-find-information-about-its-benefits-from,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-5,1000,999.9999999999999,+/- 3.3%,true,6
2026-045_beliefs_technology_health_6,"When looking for information about a new medicine, my goal is to",beliefs,when-looking-for-information-about-a-new-medicine-my-goal-is-to,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-6,1000,999.9999999999999,+/- 3.3%,true,6
2026-045_beliefs_technology_health_7,"When starting a new medication, I find information about its side effects from",beliefs,when-starting-a-new-medication-i-find-information-about-its-side-effects-from,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-7,1000,999.9999999999999,+/- 3.3%,true,7
2026-045_beliefs_technology_health_8,Please indicate the extent to which you agree or disagree with the following statement: Questions about whether God exists should be judged by different evidentiary standards than questions about most other matters of fact.,beliefs,please-indicate-the-extent-to-which-you-agree-or-disagree-with-the-following-statement-questions-about-whether-god-exists-should-be-judged-by-different-evidentiary-standards-than,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-8,1000,999.9999999999999,+/- 3.3%,false,7
2026-045_beliefs_technology_health_9,"Please indicate the extent to which you agree or disagree with the following statement: Whether God exists requires a unique way of evaluating evidence, rather than the same approach used for other truth claims.",beliefs,please-indicate-the-extent-to-which-you-agree-or-disagree-with-the-following-statement-whether-god-exists-requires-a-unique-way-of-evaluating-evidence-rather-than-the-same,https://reports.verasight.io/reports/spsp26#q-beliefs_technology_health-9,1000,999.9999999999999,+/- 3.3%,false,7
2026-045_daily_life_10,Please indicate the extent to which you agree or disagree with the following statement: I would not support a company that markets to Black consumers but is not Black-owned.,daily life,please-indicate-the-extent-to-which-you-agree-or-disagree-with-the-following-statement-i-would-not-support-a-company-that-markets-to-black-consumers-but-is-not-black-owned,https://reports.verasight.io/reports/spsp26#q-daily_life-10,1000,999.9999999999911,+/- 3.3%,false,7
2026-045_daily_life_11,"Please indicate the extent to which you agree or disagree with the following statement: If a product is heavily marketed to Black consumers, I expect the company's leadership to be Black.",daily life,please-indicate-the-extent-to-which-you-agree-or-disagree-with-the-following-statement-if-a-product-is-heavily-marketed-to-black-consumers-i-expect-the-company-s-leadership-to-be,https://reports.verasight.io/reports/spsp26#q-daily_life-11,1000,999.9999999999911,+/- 3.3%,false,7
2026-045_daily_life_12,Please leave all others unselected,daily life,fundamental-status-determinants-united-states,https://reports.verasight.io/reports/spsp26#q-daily_life-12,1000,999.9999999999911,+/- 3.3%,true,7
2026-045_daily_life_13,Being told that an expected task is difficult causes you to...,daily life,being-told-that-an-expected-task-is-difficult-causes-you-to,https://reports.verasight.io/reports/spsp26#q-daily_life-13,1000,999.9999999999911,+/- 3.3%,false,3
2026-045_daily_life_14,"The United States government should enact a wealth tax for the top 0.1% wealthiest Americans (approximately 100,000 of the richest households)",daily life,the-united-states-government-should-enact-a-wealth-tax-for-the-top-0-1-wealthiest-americans-approximately-100-000-of-the-richest-households,https://reports.verasight.io/reports/spsp26#q-daily_life-14,1000,999.9999999999911,+/- 3.3%,false,7
2026-045_daily_life_15,"Please indicate the extent to which you agree or disagree with the following statement: Black Americans in the U.S. used to be treated unequally, but they don't face much discrimination anymore.",daily life,please-indicate-the-extent-to-which-you-agree-or-disagree-with-the-following-statement-black-americans-in-the-u-s-used-to-be-treated-unequally-but-they-don-t-face-much,https://reports.verasight.io/reports/spsp26#q-daily_life-15,1000,999.9999999999911,+/- 3.3%,false,5
2026-045_daily_life_16,Do you know what postpartum Physical Therapy is?,daily life,do-you-know-what-postpartum-physical-therapy-is,https://reports.verasight.io/reports/spsp26#q-daily_life-16,1000,999.9999999999911,+/- 3.3%,false,3
2026-045_daily_life_17,Do you think feedback improves performance?,daily life,do-you-think-feedback-improves-performance,https://reports.verasight.io/reports/spsp26#q-daily_life-17,1000,999.9999999999911,+/- 3.3%,false,2
2026-045_daily_life_18,"If you had to choose, what do you think this passage is describing?",daily life,if-you-had-to-choose-what-do-you-think-this-passage-is-describing,https://reports.verasight.io/reports/spsp26#q-daily_life-18,1000,999.9999999999911,+/- 3.3%,false,4
2026-045_daily_life_19,Do you use a nickname at work?,daily life,do-you-use-a-nickname-at-work,https://reports.verasight.io/reports/spsp26#q-daily_life-19,1000,999.9999999999911,+/- 3.3%,false,4
2026-045_daily_life_1_a_1,"After agreeing, Person A says, ""Can I invite Person B to come too?"" Please indicate how you would feel: - Worthless:Worthy",daily life,after-agreeing-person-a-says-can-i-invite-person-b-to-come-too-please-indicate-how-you-would-feel-worthless-worthy,https://reports.verasight.io/reports/spsp26#q-daily_life-1_a_1,1000,999.9999999999911,+/- 4.6%,false,7
2026-045_daily_life_1_a_2,"After agreeing, Person A says, ""Can I invite Person B to come too?"" Please indicate how you would feel: - Disconnected:Connected",daily life,after-agreeing-person-a-says-can-i-invite-person-b-to-come-too-please-indicate-how-you-would-feel-disconnected-connected,https://reports.verasight.io/reports/spsp26#q-daily_life-1_a_2,1000,999.9999999999911,+/- 4.6%,false,7
2026-045_daily_life_1_a_3,"After agreeing, Person A says, ""Can I invite Person B to come too?"" Please indicate how you would feel: - Insignificant:Significant",daily life,after-agreeing-person-a-says-can-i-invite-person-b-to-come-too-please-indicate-how-you-would-feel-insignificant-significant,https://reports.verasight.io/reports/spsp26#q-daily_life-1_a_3,1000,999.9999999999911,+/- 4.6%,false,7
2026-045_daily_life_1_a_4,"After agreeing, Person A says, ""Can I invite Person B to come too?"" Please indicate how you would feel: - Bad:Good",daily life,after-agreeing-person-a-says-can-i-invite-person-b-to-come-too-please-indicate-how-you-would-feel-bad-good,https://reports.verasight.io/reports/spsp26#q-daily_life-1_a_4,1000,999.9999999999911,+/- 4.6%,false,7
2026-045_daily_life_1_a_5,"After agreeing, Person A says, ""Can I invite Person B to come too?"" Please indicate how you would feel: - Like I lack control:Like I have control",daily life,after-agreeing-person-a-says-can-i-invite-person-b-to-come-too-please-indicate-how-you-would-feel-like-i-lack-control-like-i-have-control,https://reports.verasight.io/reports/spsp26#q-daily_life-1_a_5,1000,999.9999999999911,+/- 4.6%,false,7
2026-045_daily_life_1_b_1,"After agreeing, Person A says, ""Can we go the following week instead?"" Please indicate how you would feel: - Worthless:Worthy",daily life,after-agreeing-person-a-says-can-we-go-the-following-week-instead-please-indicate-how-you-would-feel-worthless-worthy,https://reports.verasight.io/reports/spsp26#q-daily_life-1_b_1,1000,999.9999999999911,+/- 4.7%,false,7
2026-045_daily_life_1_b_2,"After agreeing, Person A says, ""Can we go the following week instead?"" Please indicate how you would feel: - Disconnected:Connected",daily life,after-agreeing-person-a-says-can-we-go-the-following-week-instead-please-indicate-how-you-would-feel-disconnected-connected,https://reports.verasight.io/reports/spsp26#q-daily_life-1_b_2,1000,999.9999999999911,+/- 4.7%,false,7
