question_id,option_id,option_label,is_missing
2026-045_beliefs_technology_health_10,1,Strongly disagree,false
2026-045_beliefs_technology_health_10,2,Disagree,false
2026-045_beliefs_technology_health_10,3,Somewhat disagree,false
2026-045_beliefs_technology_health_10,4,Neither agree nor disagree,false
2026-045_beliefs_technology_health_10,5,Somewhat agree,false
2026-045_beliefs_technology_health_10,6,Agree,false
2026-045_beliefs_technology_health_10,7,Strongly agree,false
2026-045_beliefs_technology_health_11,1,Strongly disagree,false
2026-045_beliefs_technology_health_11,2,Disagree,false
2026-045_beliefs_technology_health_11,3,Somewhat disagree,false
2026-045_beliefs_technology_health_11,4,Neither agree nor disagree,false
2026-045_beliefs_technology_health_11,5,Somewhat agree,false
2026-045_beliefs_technology_health_11,6,Agree,false
2026-045_beliefs_technology_health_11,7,Strongly agree,false
2026-045_beliefs_technology_health_12,1,Definitely not true,false
2026-045_beliefs_technology_health_12,2,Tends not to be true,false
2026-045_beliefs_technology_health_12,3,Unsure,false
2026-045_beliefs_technology_health_12,4,Tends to be true,false
2026-045_beliefs_technology_health_12,5,Definitely true of me,false
2026-045_beliefs_technology_health_13,1,Absolutely don't believe,false
2026-045_beliefs_technology_health_13,2,Probably don't believe,false
2026-045_beliefs_technology_health_13,3,Slightly don't believe,false
2026-045_beliefs_technology_health_13,4,Neutral or unsure,false
2026-045_beliefs_technology_health_13,5,Moderately believe,false
2026-045_beliefs_technology_health_13,6,Very much believe,false
2026-045_beliefs_technology_health_13,7,Absolutely believe,false
2026-045_beliefs_technology_health_14,1,Strongly disagree,false
2026-045_beliefs_technology_health_14,2,Disagree,false
2026-045_beliefs_technology_health_14,3,Slightly disagree,false
2026-045_beliefs_technology_health_14,4,Neither disagree nor agree,false
2026-045_beliefs_technology_health_14,5,Slightly agree,false
2026-045_beliefs_technology_health_14,6,Agree,false
2026-045_beliefs_technology_health_14,7,Strongly agree,false
2026-045_beliefs_technology_health_15,1,1 - No difficulty,false
2026-045_beliefs_technology_health_15,3,2,false
2026-045_beliefs_technology_health_15,4,3,false
2026-045_beliefs_technology_health_15,5,4,false
2026-045_beliefs_technology_health_15,6,5,false
2026-045_beliefs_technology_health_15,7,7 - Extreme difficulty,false
2026-045_beliefs_technology_health_15,8,6,false
2026-045_beliefs_technology_health_16,1,They would be a much better than average therapist,false
2026-045_beliefs_technology_health_16,2,They would be a better than average therapist,false
2026-045_beliefs_technology_health_16,3,They would be an average therapist,false
2026-045_beliefs_technology_health_16,4,They would be a worse than average therapist,false
2026-045_beliefs_technology_health_16,5,They would be a much worse than average therapist,false
2026-045_beliefs_technology_health_17,1,Strongly disagree,false
2026-045_beliefs_technology_health_17,2,Slightly disagree,false
2026-045_beliefs_technology_health_17,3,Neither agree nor disagree,false
2026-045_beliefs_technology_health_17,4,Slightly agree,false
2026-045_beliefs_technology_health_17,5,Strongly agree,false
2026-045_beliefs_technology_health_18,1,It creates concerns about our relationship,false
2026-045_beliefs_technology_health_18,2,It damages our relationship,false
2026-045_beliefs_technology_health_18,3,It improves our relationship,false
2026-045_beliefs_technology_health_18,4,It will not influence our relationship,false
2026-045_beliefs_technology_health_18,5,None of the above / I do not have a partner,false
2026-045_beliefs_technology_health_19,1,Strongly disagree,false
2026-045_beliefs_technology_health_19,2,Somewhat disagree,false
2026-045_beliefs_technology_health_19,3,Neither disagree nor agree,false
2026-045_beliefs_technology_health_19,4,Somewhat agree,false
2026-045_beliefs_technology_health_19,5,Strongly agree,false
2026-045_beliefs_technology_health_1_a,1,Yes,false
2026-045_beliefs_technology_health_1_a,2,No,false
2026-045_beliefs_technology_health_1_b,1,Yes,false
2026-045_beliefs_technology_health_1_b,2,No,false
2026-045_beliefs_technology_health_2,1,Yes,false
2026-045_beliefs_technology_health_2,2,No,false
2026-045_beliefs_technology_health_20_a,1,1 - Not at all,false
2026-045_beliefs_technology_health_20_a,2,2,false
2026-045_beliefs_technology_health_20_a,3,3,false
2026-045_beliefs_technology_health_20_a,4,4,false
2026-045_beliefs_technology_health_20_a,5,5,false
2026-045_beliefs_technology_health_20_a,6,6,false
2026-045_beliefs_technology_health_20_a,7,7 - Very much,false
2026-045_beliefs_technology_health_20_b,1,1 - Not at all,false
2026-045_beliefs_technology_health_20_b,2,2,false
2026-045_beliefs_technology_health_20_b,3,3,false
2026-045_beliefs_technology_health_20_b,4,4,false
2026-045_beliefs_technology_health_20_b,5,5,false
2026-045_beliefs_technology_health_20_b,6,6,false
2026-045_beliefs_technology_health_20_b,7,7 - Very much,false
2026-045_beliefs_technology_health_21,1,"Yes, and I'm a frequent user",false
2026-045_beliefs_technology_health_21,2,"Yes, and I've used it several times",false
2026-045_beliefs_technology_health_21,3,"Yes, and I've used it once",false
2026-045_beliefs_technology_health_21,4,No,false
2026-045_beliefs_technology_health_22,1,Always,false
2026-045_beliefs_technology_health_22,2,Often,false
2026-045_beliefs_technology_health_22,3,Sometimes,false
2026-045_beliefs_technology_health_22,4,Almost never,false
2026-045_beliefs_technology_health_22,5,Never,false
2026-045_beliefs_technology_health_22,6,I don't use social media,false
2026-045_beliefs_technology_health_23_a,1,Zero or less than one hour per day,false
2026-045_beliefs_technology_health_23_a,2,1-3 hours per day,false
2026-045_beliefs_technology_health_23_a,3,4-6 hours per day,false
2026-045_beliefs_technology_health_23_a,4,7-10 hours per day,false
2026-045_beliefs_technology_health_23_a,5,More than 10 hours per day,false
2026-045_beliefs_technology_health_23_b,1,Zero or less than one hour per day,false
2026-045_beliefs_technology_health_23_b,2,1-3 hours per day,false
2026-045_beliefs_technology_health_23_b,3,4-6 hours per day,false
2026-045_beliefs_technology_health_23_b,4,7-10 hours per day,false
2026-045_beliefs_technology_health_23_b,5,More than 10 hours per day,false
2026-045_beliefs_technology_health_24_a,1,Much worse,false
2026-045_beliefs_technology_health_24_a,2,Slightly worse,false
2026-045_beliefs_technology_health_24_a,3,No change,false
2026-045_beliefs_technology_health_24_a,4,Slightly better,false
2026-045_beliefs_technology_health_24_a,5,Much better,false
2026-045_beliefs_technology_health_24_a,6,I have never interacted with an AI chatbot,false
2026-045_beliefs_technology_health_24_b,1,Much worse,false
2026-045_beliefs_technology_health_24_b,2,Slightly worse,false
2026-045_beliefs_technology_health_24_b,3,No change,false
2026-045_beliefs_technology_health_24_b,4,Slightly better,false
2026-045_beliefs_technology_health_24_b,5,Much better,false
2026-045_beliefs_technology_health_24_b,6,I have never interacted with an AI chatbot,false
2026-045_beliefs_technology_health_25,1,Yes,false
2026-045_beliefs_technology_health_25,2,No,false
2026-045_beliefs_technology_health_25,3,Maybe,false
2026-045_beliefs_technology_health_26,1,1 - I strongly do not believe,false
2026-045_beliefs_technology_health_26,2,2,false
2026-045_beliefs_technology_health_26,3,3,false
2026-045_beliefs_technology_health_26,4,4,false
2026-045_beliefs_technology_health_26,5,5,false
2026-045_beliefs_technology_health_26,6,6,false
2026-045_beliefs_technology_health_26,7,7 - I strongly believe in the existence of extraterrestrial life,false
2026-045_beliefs_technology_health_27,1,1 - Never,false
2026-045_beliefs_technology_health_27,2,2,false
2026-045_beliefs_technology_health_27,3,3,false
2026-045_beliefs_technology_health_27,4,4,false
2026-045_beliefs_technology_health_27,5,5 - Daily,false
2026-045_beliefs_technology_health_28,1,Never,false
2026-045_beliefs_technology_health_28,2,Less than once a month,false
2026-045_beliefs_technology_health_28,3,1-3 times per month,false
2026-045_beliefs_technology_health_28,4,1-3 times per week,false
2026-045_beliefs_technology_health_28,5,4-6 times per week,false
2026-045_beliefs_technology_health_28,6,Daily,false
2026-045_beliefs_technology_health_28,7,More than once everyday,false
2026-045_beliefs_technology_health_29,1,Not likely at all,false
2026-045_beliefs_technology_health_29,2,Somewhat unlikely,false
2026-045_beliefs_technology_health_29,3,Likely,false
2026-045_beliefs_technology_health_29,4,Somewhat likely,false
2026-045_beliefs_technology_health_29,5,Very likely,false
2026-045_beliefs_technology_health_30_a,1,Not strict at all,false
2026-045_beliefs_technology_health_30_a,2,Slightly strict,false
2026-045_beliefs_technology_health_30_a,3,Moderately strict,false
2026-045_beliefs_technology_health_30_a,4,Very strict,false
2026-045_beliefs_technology_health_30_a,5,Extremely strict,false
2026-045_beliefs_technology_health_30_a,6,I don't use that app,false
2026-045_beliefs_technology_health_30_b,1,Not strict at all,false
2026-045_beliefs_technology_health_30_b,2,Slightly strict,false
2026-045_beliefs_technology_health_30_b,3,Moderately strict,false
2026-045_beliefs_technology_health_30_b,4,Very strict,false
2026-045_beliefs_technology_health_30_b,5,Extremely strict,false
2026-045_beliefs_technology_health_30_b,6,I don't use that app,false
2026-045_beliefs_technology_health_31,1,Atheism,false
2026-045_beliefs_technology_health_31,2,Buddhism,false
2026-045_beliefs_technology_health_31,3,Christianity,false
2026-045_beliefs_technology_health_31,4,Judaism,false
2026-045_beliefs_technology_health_31,5,Hinduism,false
2026-045_beliefs_technology_health_31,6,Islam,false
2026-045_beliefs_technology_health_31,7,Other,false
2026-045_beliefs_technology_health_31,8,None,false
2026-045_beliefs_technology_health_32,1,1 - Strongly disagree,false
2026-045_beliefs_technology_health_32,2,2,false
2026-045_beliefs_technology_health_32,3,3,false
2026-045_beliefs_technology_health_32,4,4,false
2026-045_beliefs_technology_health_32,5,5 - Strongly agree,false
2026-045_beliefs_technology_health_33,1,1 - Strongly disagree,false
2026-045_beliefs_technology_health_33,2,2,false
2026-045_beliefs_technology_health_33,3,3,false
2026-045_beliefs_technology_health_33,4,4,false
2026-045_beliefs_technology_health_33,5,5 - Strongly agree,false
2026-045_beliefs_technology_health_34,1,Strongly disagree,false
2026-045_beliefs_technology_health_34,2,Slightly disagree,false
2026-045_beliefs_technology_health_34,3,Neither agree nor disagree,false
2026-045_beliefs_technology_health_34,4,Slightly agree,false
2026-045_beliefs_technology_health_34,5,Strongly agree,false
2026-045_beliefs_technology_health_35,1,Extremely negative,false
2026-045_beliefs_technology_health_35,2,Somewhat negative,false
2026-045_beliefs_technology_health_35,3,Neither negative nor positive,false
2026-045_beliefs_technology_health_35,4,Somewhat positive,false
2026-045_beliefs_technology_health_35,5,Extremely positive,false
2026-045_beliefs_technology_health_36,1,I do not use cannabis,false
2026-045_beliefs_technology_health_36,2,Less than once a year,false
2026-045_beliefs_technology_health_36,3,A few times a year,false
2026-045_beliefs_technology_health_36,4,Monthly (1-3 times a month),false
2026-045_beliefs_technology_health_36,5,Weekly (1-5 days a week),false
2026-045_beliefs_technology_health_36,6,Near daily or more,false
2026-045_beliefs_technology_health_36,7,Prefer not to answer,false
2026-045_beliefs_technology_health_37,1,We cease to exist,false
2026-045_beliefs_technology_health_37,2,Our souls all go to the same place,false
2026-045_beliefs_technology_health_37,3,We go to designated after lives (heaven or hell),false
2026-045_beliefs_technology_health_37,4,We are reincarnated,false
2026-045_beliefs_technology_health_37,5,Other,false
2026-045_beliefs_technology_health_38_a,1,Much more the creator's sincere belief,false
2026-045_beliefs_technology_health_38_a,2,Somewhat more the creator's sincere belief,false
2026-045_beliefs_technology_health_38_a,3,Slightly more the creator's sincere belief,false
2026-045_beliefs_technology_health_38_a,4,Slightly more the factual accuracy,false
2026-045_beliefs_technology_health_38_a,5,Somewhat more the factual accuracy,false
2026-045_beliefs_technology_health_38_a,6,Much more the factual accuracy,false
2026-045_beliefs_technology_health_38_b,1,Much more the creator's sincere belief,false
2026-045_beliefs_technology_health_38_b,2,Somewhat more the creator's sincere belief,false
2026-045_beliefs_technology_health_38_b,3,Slightly more the creator's sincere belief,false
2026-045_beliefs_technology_health_38_b,4,Slightly more the factual accuracy,false
2026-045_beliefs_technology_health_38_b,5,Somewhat more the factual accuracy,false
2026-045_beliefs_technology_health_38_b,6,Much more the factual accuracy,false
2026-045_beliefs_technology_health_3_a,1,Yes,false
2026-045_beliefs_technology_health_3_a,2,No,false
2026-045_beliefs_technology_health_3_b,1,Yes,false
2026-045_beliefs_technology_health_3_b,2,No,false
2026-045_beliefs_technology_health_4,1,Not at all,false
2026-045_beliefs_technology_health_4,2,Somewhat,false
2026-045_beliefs_technology_health_4,3,Moderately,false
2026-045_beliefs_technology_health_4,4,Severely,false
2026-045_beliefs_technology_health_5,1,"Online videos on social media (for example, TikTok/ Instagram)",false
2026-045_beliefs_technology_health_5,2,Talking to friends and family,false
2026-045_beliefs_technology_health_5,3,Talking to my doctor or other medical professionals,false
2026-045_beliefs_technology_health_5,4,"Online informational websites (for example, WebMD)",false
2026-045_beliefs_technology_health_5,5,"Text based social media (for example, Facebook)",false
2026-045_beliefs_technology_health_5,6,I have never looked for information about its benefits,false
2026-045_beliefs_technology_health_6,1,Feel more positive about my medication,false
2026-045_beliefs_technology_health_6,2,Reduce my anxiety about my medication,false
2026-045_beliefs_technology_health_6,3,Change the way I think about a medication,false
2026-045_beliefs_technology_health_6,4,Feel connected to others with my health issue,false
